Property Name,Address,Area,Rental price,Property Type,Carpet area(sq ft),Contact,Maps link,url
WareHouse for Lease,"in Sadaramangala Industrial Area, Kadugodi",N/A,N/A,N/A,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Sadaramangala%20Industrial%20Area%2C%20Kadugodi,https://www.99acres.com/warehouse-for-rent-lease-in-sadaramangala-industrial-area-bangalore-east-8000-sq-ft-spid-I82604664
Bare Shell Office Space,"in Kalyan Nagar, 1st Block HRBR Layout, Kalyan nagar, Bangalore",3400,₹238000/Month,Commercial,3000,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Kalyan%20Nagar%2C%201st%20Block%20HRBR%20Layout%2C%20Kalyan%20nagar%2C%20Bangalore,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-1st-block-hrbr-layout-bangalore-east-3400-sq-ft-r1-spid-R81106749
Bare Shell Office Space,"in Peenya Industrial Area Phase 2, Tumkur Road",4000,₹150000/Month,Industrial,3500,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Peenya%20Industrial%20Area%20Phase%202%2C%20Tumkur%20Road,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-peenya-industrial-area-phase-2-bangalore-west-4000-sq-ft-r1-spid-G80363071
Bare Shell Office Space,"in Eshanya, Koramangala, Bangalore",2271,₹225000/Month,Commercial,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Eshanya%2C%20Koramangala%2C%20Bangalore,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-koramangala-bangalore-south-2271-sq-ft-spid-U82307140
WareHouse for Lease,"in Old Madras Road, Bangalore",N/A,N/A,N/A,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Old%20Madras%20Road%2C%20Bangalore,https://www.99acres.com/warehouse-for-rent-lease-in-old-madras-road-bangalore-east-60000-sq-ft-spid-U82682760
N/A,N/A,N/A,N/A,N/A,N/A,Available after login,N/A,https://www.99acres.com/flexiwork-bangalore-singasandra-bangalore-south-coworking-space-for-rent-cwspid-Z80339823
Ready to move Office Space,"in El-bethel commercial building , Varthur, Bangalore",N/A,₹200000/Month,Commercial,2000,Available after login,https://www.google.com/maps/search/?api=1&query=in%20El-bethel%20commercial%20building%20%2C%20Varthur%2C%20Bangalore,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-varthur-bangalore-east-2000-sq-ft-spid-O81423667
Bare Shell Office Space,"in Yelachenahalli, Kanakapura Road",7600,₹425000/Month,Industrial,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Yelachenahalli%2C%20Kanakapura%20Road,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-yelachenahalli-bangalore-south-7600-sq-ft-spid-O83494186
WareHouse for Lease,"in Nearby kattigenahalli, Mittaganahalli, Near Bagalur, Bangalore",N/A,N/A,N/A,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Nearby%20kattigenahalli%2C%20Mittaganahalli%2C%20Near%20Bagalur%2C%20Bangalore,https://www.99acres.com/warehouse-for-rent-lease-in-mittaganahalli-bangalore-north-4000-sq-ft-r2-spid-J80504323
Ready to move Office Space,"in Malleshpalya, Kaggadasapura",N/A,₹160000/Month,Commercial,2000,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Malleshpalya%2C%20Kaggadasapura,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-malleshpalya-bangalore-east-2000-sq-ft-spid-T82285162
Manufacturing for Lease,"in Electronic City Phase 2, Bangalore",N/A,N/A,N/A,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Electronic%20City%20Phase%202%2C%20Bangalore,https://www.99acres.com/manufacturing-unit-space-for-rent-lease-in-electronic-city-phase-2-bangalore-south-3500-sq-ft-spid-O82861070
Ready to move Office Space,"in Malleshwaram, Bangalore North",N/A,₹350000/Month,Commercial,4400,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Malleshwaram%2C%20Bangalore%20North,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-malleshwaram-bangalore-north-4400-sq-ft-spid-U80663597
